eval_metric,dataset,model,shap,random,lime,vnla,sg,itg,ig
1NN,german,lr,0.20050765889378933,-2.271101004794829,0.6314232416041268,0.631423241604135,0.631423241604135,-0.4550996205155171,0.631423241604135
3NN,german,lr,0.013368391019950562,-2.3921556166281293,0.39869260277135976,0.6023639718399605,0.6023639718399605,0.17300270731695205,0.6023639718399605
5NN,german,lr,-0.5083388978970346,-2.098926764880115,0.659607050144821,0.7686759324522441,0.7686759324522441,-0.3583691847243431,0.7686759324522441
9NN,german,lr,-1.1231707996000146,-1.3984227142059877,0.8736567263597567,0.8536384052975055,0.8536384052975055,-0.9129784284463509,0.8536384052975055
1NN,german,ann,0.07662776408358067,-2.4227416474088734,0.5445462383812492,0.5217209469520968,0.4874830098083683,0.3505312612334391,0.44183242695007885
3NN,german,ann,-0.23157688893665596,-2.119087148077987,0.7454872452070723,0.9231352695968197,0.9231352695968197,-0.40922491332646244,0.16813116594033456
5NN,german,ann,0.6403943994734388,-2.4078829420191457,0.6403943994734388,0.4610839676204841,0.28177353576824615,0.10246310391553042,0.28177353576824615
9NN,german,ann,-0.5366563145997985,-0.8497058314497156,2.2807893370498733,0.08944271910087004,-0.22360679775029832,-0.8497058314497156,0.08944271910087004
1NN,heloc,lr,0.6153958717604487,-2.4257227494574476,0.4802777355050363,0.259349977172718,0.259349977172718,0.551999210673789,0.259349977172718
3NN,heloc,lr,0.8381171656348878,-2.359969002315426,0.36003557733832614,0.1429678924014514,0.1429678924014514,0.7329125821378645,0.1429678924014514
5NN,heloc,lr,1.1211857655604016,-2.1493788747471387,0.24270652791962288,-0.07900070576185797,-0.07900070576185797,1.0224886985527262,-0.07900070576185797
9NN,heloc,lr,0.7750674990135122,-2.3662642954285,0.40155103855037305,0.1432994233082592,0.1432994233082592,0.7597474879398296,0.1432994233082592
1NN,heloc,ann,-0.3037615098663655,-2.262785190894799,0.42878936643518395,0.39746098501008437,0.448786205642679,0.19282666378663593,1.0986834798865341
3NN,heloc,ann,-0.3781200522062313,-2.179148727266363,0.5009610843950472,0.3678832995238364,0.3762006610782875,0.05630213975321375,1.2559215947222224
5NN,heloc,ann,-0.42032781522284485,-2.2101789369921616,0.5539375023743529,0.39324087649048095,0.37508686436134214,0.16396242700762656,1.1442790819812243
9NN,heloc,ann,-0.337424974182539,-2.2270048296047658,0.4081969094068349,0.30969141466070005,0.3118484692901773,0.32622883348667053,1.2084641769429585
1NN,compas,lr,-0.9865169221185052,-1.3011420619997438,0.8810656389714803,0.8568637051344571,0.8568637051344571,-1.1639977702566335,0.8568637051344571
3NN,compas,lr,-0.40838109964278846,-2.0202563796787008,0.7764161147425702,0.7626394029473936,0.7626394029473936,-0.6356968442632353,0.7626394029473936
5NN,compas,lr,-0.18997692125810084,-2.212439562151727,0.7150520230687482,0.6873470553852692,0.6873470553852692,-0.3746767058145681,0.6873470553852692
9NN,compas,lr,0.2035110148788885,-2.4271497725432702,0.5268812777845938,0.5006620672787375,0.5006620672787375,0.19477127804359193,0.5006620672787375
1NN,compas,ann,-0.5701250827498738,-1.9712477902732586,0.4325741060464781,0.9372438964340742,0.9970074242431004,-0.5103615549408221,0.6849090012402634
3NN,compas,ann,0.6183863067830776,-2.3821927045393676,0.028108468490149332,0.4806548111813931,0.4806548111813931,0.6872520545839199,0.0871362523194346
5NN,compas,ann,0.8808009598879295,-2.302208245060793,-0.07410180159669169,0.24419911889818957,0.3149326567859284,0.869012036906651,0.0673652741788312
9NN,compas,ann,1.1341898819520735,-2.200731382620196,-0.12522147173837017,0.14681138065877014,0.13673608982927724,0.9024581928730209,0.005757309045443863
1NN,adult,lr,0.11037509283785839,-2.333305499993611,0.49470154445610826,0.6465487489239563,0.6465487489239563,-0.21141738407220903,0.6465487489239602
3NN,adult,lr,0.3965597302530947,-2.4183847952216833,0.4224311730450584,0.5213127043940056,0.5213127043940056,0.03633277680227697,0.5204357063332591
5NN,adult,lr,0.2850998882282933,-2.413984455071678,0.3759711421404692,0.5614132429994279,0.5614132429994279,0.0689049202692822,0.5611820184347653
9NN,adult,lr,0.29074539320412596,-2.416863595496935,0.3210694109413384,0.5654158348568776,0.5654158348568776,0.1085506750640272,0.5656664465737146
1NN,adult,ann,0.3620400966837718,-2.422326333150182,0.431405721941423,0.4707073110704659,0.47137913310685675,0.08306599607126024,0.6037280742764306
3NN,adult,ann,0.5152987857144551,-2.4383389757834224,0.368892912134062,0.41097900423362177,0.4094119688894857,0.2133086886809015,0.5204476161308844
5NN,adult,ann,0.5976378578686836,-2.4329133372056275,0.33432406821041716,0.3800009500899174,0.3817107798928969,0.21365893640041572,0.5255807447432838
9NN,adult,ann,0.39104664226291885,-2.4346923836503755,0.40968783836261957,0.4509647725833943,0.45282889219335465,0.16948271147788885,0.5606815267701993
FA,german,lr,-1.1795807941956211,-1.059399520272383,0.8298548073475723,0.8767806722538358,0.8767806722538358,-1.2212165096410754,0.8767806722538358
PGI,german,lr,1.0694655572726193,0.4466649194678861,0.30025765033405344,-1.5317799780575718,-1.5293632386673608,0.8532127472638076,0.3915423423865659
(-)PGU,german,lr,-0.0855006227096904,1.1567694599739233,0.8716648595478449,-1.3476540522216216,-1.3871206712480104,-0.2525365499357829,1.0443775765933372
SA,german,lr,-0.902793291204813,-0.7962934534840187,1.6889930024909168,0.3608032375726418,0.3608032375726418,-1.4009119792347409,0.6893992462873709
RA,german,lr,-1.1377242709488553,-1.1162209117773867,0.42540846375667263,0.9927627330339083,0.9927627330339083,-1.149751480132154,0.9927627330339083
RC,german,lr,-1.2597649840072498,-1.1587528256481867,0.8616275840113542,0.8654844929994727,0.8654844929994727,-1.039563253354335,0.8654844929994727
SRA,german,lr,-1.1512758851381046,-1.1297896195413406,1.042129040373277,0.7099139047551571,0.7099139047551571,-1.1599759366368192,0.9790845914326727
PRA,german,lr,-1.122355518564857,-1.0915209461903503,0.8330665662991864,0.8757871533859772,0.8757871533859772,-1.2465515617019116,0.8757871533859772
PGI,german,ann,1.0888711116635121,0.7191940571448086,-0.06169391694378094,-1.4808052076991656,-1.4812940938355497,0.8970870097497692,0.31864103992040743
(-)PGU,german,ann,-0.3589506297934716,1.2915186141722286,0.6985362814192061,-1.2297601413973733,-1.2433270710422983,-0.3860219484958202,1.2280048951375269
FA,heloc,lr,-0.9915094396249206,-1.4391943986962383,0.8324938731545761,0.8662799003027567,0.8662799003027567,-1.0006297357416878,0.8662799003027567
PGI,heloc,lr,0.49499993595006403,0.45804073606016865,1.1306631153905213,-1.5435288300801135,-1.5427812718796925,0.47382904340619314,0.5287772711528543
(-)PGU,heloc,lr,0.2823168476802161,0.6430131657032182,1.5033345906481264,-1.4331950791960897,-1.4450643305655075,0.2665680602378832,0.18302674549215767
SA,heloc,lr,-0.44952844560012567,-0.872959809085456,2.3045429168129603,-0.43169699308267356,-0.43169699308267356,-0.47477138506345334,0.35611070910142273
RA,heloc,lr,-1.1213624214980529,-1.1395227550626283,0.35450489829330395,1.0096514335418352,1.0096514335418352,-1.122574022358128,1.0096514335418352
RC,heloc,lr,-0.7774731279307091,-1.7652139759083532,0.812717618497215,0.827339031670648,0.827339031670648,-0.7520476096700949,0.827339031670648
SRA,heloc,lr,-0.9416008860152589,-0.9961210181349819,1.8437692858921928,0.06402177627970622,0.06402177627970622,-0.9424823470913979,0.9083914127900337
PRA,heloc,lr,-0.8840003888269221,-1.5971012906001558,0.777822416632094,0.8671731328320565,0.8671731328320565,-0.8982401357011861,0.8671731328320565
PGI,heloc,ann,0.01915772236894734,0.16348205010647632,1.5219663513527633,-1.385889999982576,-1.4382227321114984,0.4170967513091557,0.7024098569567176
(-)PGU,heloc,ann,0.24332820933790159,1.4253556827448537,0.25411397191910223,-1.2752872756825415,-1.31803259774139,1.1277921405966995,-0.45727013117462517
FA,compas,lr,-0.8307041999526267,-1.7610718917956185,0.7142675324190183,0.8585127865601848,0.8585127865601848,-0.6980298003513271,0.8585127865601848
