eval_metric,dataset,model,shap,random,lime,vnla,sg,itg,ig
1NN,german,lr,0.8778333333333334,0.844375,0.8836666666666666,0.8836666666666667,0.8836666666666667,0.8689583333333334,0.8836666666666667
3NN,german,lr,0.8879166666666667,0.8697083333333333,0.8908333333333334,0.892375,0.892375,0.8891249999999999,0.892375
5NN,german,lr,0.8807083333333333,0.8661249999999999,0.8914166666666666,0.8924166666666667,0.8924166666666667,0.8820833333333333,0.8924166666666667
9NN,german,lr,0.8669166666666666,0.864625,0.8835416666666666,0.8833749999999999,0.8833749999999999,0.8686666666666666,0.8833749999999999
1NN,german,ann,0.9298333333333332,0.9115833333333332,0.9332499999999998,0.9330833333333332,0.9328333333333332,0.9318333333333332,0.9325
3NN,german,ann,0.9295416666666666,0.9259999999999998,0.931375,0.9317083333333332,0.9317083333333332,0.9292083333333332,0.9302916666666666
5NN,german,ann,0.92875,0.9273333333333332,0.92875,0.9286666666666664,0.9285833333333332,0.9284999999999998,0.9285833333333332
9NN,german,ann,0.9280833333333331,0.9279999999999998,0.9288333333333332,0.92825,0.9281666666666664,0.9279999999999998,0.92825
1NN,heloc,lr,0.7883544303797468,0.7360814529444138,0.7860319207484866,0.7822344523940562,0.7822344523940562,0.7872647220693452,0.7822344523940562
3NN,heloc,lr,0.8071436433681896,0.7542762795817282,0.7992405063291139,0.7956521739130434,0.7956521739130434,0.8054045129334068,0.7956521739130434
5NN,heloc,lr,0.8116235553109522,0.7638414969730327,0.7987892129884425,0.7940891579526693,0.7940891579526693,0.8101816180517336,0.7940891579526693
9NN,heloc,lr,0.8164226747385801,0.7690258668134289,0.8107870115575125,0.8068904788112272,0.8068904788112272,0.8161915244909191,0.8068904788112272
1NN,heloc,ann,0.7542542652724271,0.7219042377545403,0.7663511282333518,0.7658337919647771,0.7666813428728674,0.7624545954870666,0.777413318657127
3NN,heloc,ann,0.7727462850853054,0.7417611447440836,0.7878701155751237,0.7855806274078152,0.785723720418272,0.7802201430930105,0.8008585580627409
5NN,heloc,ann,0.7780187121629059,0.748717666483214,0.7939680792515135,0.7913373692900385,0.7910401761144744,0.7875839295542101,0.8036323610346727
9NN,heloc,ann,0.7839295542102366,0.7550027517886625,0.7953439735828289,0.7938359933957073,0.7938690148596589,0.794089157952669,0.8075949367088608
1NN,compas,lr,0.6630422209369576,0.6585309427414691,0.6898207056101793,0.6894736842105262,0.6894736842105262,0.6604973973395026,0.6894736842105262
3NN,compas,lr,0.6845575477154424,0.6710237131289762,0.6945054945054944,0.6943898207056101,0.6943898207056101,0.682648930017351,0.6943898207056101
5NN,compas,lr,0.6872180451127818,0.6745517640254481,0.6928860613071139,0.6927125506072874,0.6927125506072874,0.6860613071139388,0.6927125506072874
9NN,compas,lr,0.6895315211104684,0.6721226142278773,0.6916714864083284,0.691497975708502,0.691497975708502,0.6894736842105262,0.691497975708502
1NN,compas,ann,0.6694042799305957,0.6572006940427993,0.6781376518218623,0.6825332562174669,0.6830537883169461,0.6699248120300751,0.6803354540196644
3NN,compas,ann,0.6855986119144013,0.6679583574320417,0.6821283979178716,0.684788895315211,0.684788895315211,0.6860034702139964,0.6824754193175245
5NN,compas,ann,0.6866975130133024,0.6710815500289184,0.6820127241179872,0.6835743204164256,0.6839213418160786,0.6866396761133603,0.6827067669172933
9NN,compas,ann,0.6880855986119143,0.6689415847310584,0.6808559861191439,0.6824175824175823,0.6823597455176403,0.6867553499132445,0.6816078658183921
1NN,adult,lr,0.7895947612365523,0.7189735085257473,0.8007016201046053,0.8050899349406813,0.8050899349406813,0.78029510566824,0.8050899349406814
3NN,adult,lr,0.7984947059573926,0.7439001573329933,0.7989964706382617,0.8009142322575159,0.8009142322575159,0.7915082706127483,0.800897223285283
5NN,adult,lr,0.8001275672917465,0.7504911340732237,0.8017986988136242,0.8052089977463113,0.8052089977463113,0.796151720032317,0.805204745503253
